sense_id	wordform	definition	origin_sense_id
log%V1	log	record of a ship's speed, as measured by a log	
loss%M3A	loss	the act of losing someone or something, e.g., \"the loss of his keys meant he could not drive\"	loss%1:04:00::
loss%M3B	loss	the act of losing a competition or game, e.g. \"everyone expected him to win so his loss was a shock\"	loss%1:04:00::
mechanism%V1	mechanism	[mechanics] the technical aspects of a machine performing its function	
memory%V1	memory	the cognitive domain where memories are stored	
mill%V1	mill	a building containing the machinery used for grinding or crushing	
mimosa%V1	mimosa	the yellow flower of the Mimosa tree	
mine%V1	mine	explosive device; designed to destroy the ground to reveal ores and minerals	
molding%V1	molding	the act of creating a sculpture with a distinctive shape through carving, smoothing etc.	
mortar%V1	mortar	a substance that has been ground down into smaller particles	
mortmain%V1	mortmain	the inalienable ownership of property (as by an ecclesiastical corporation)	
mould%V1	mould	the process of forming a distinctive shape 	
murmur%M1A	murmur	a low continuous indistinct sound produced by speaking softly, often accompanied by movement of the lips without the production of articulate speech	murmur%1:11:00::
murmur%M1B	murmur	a low continuous indistinct sound	murmur%1:11:00::
name%V1	name	a person who has a name	
nickel%V1	nickel	five dollars	
offense%V1	offense	the action of the other sports team	
opposition%V1	opposition	something that one is in opposition to	
origin%V1	origin	a person's ancestry	
ostrich%M1A	ostrich	the popular notion that the ostrich hides from danger by burying its head in the sand	ostrich%1:18:00::
ostrich%M1B	ostrich	a person who refuses to face reality or recognize the truth	ostrich%1:18:00::
oversight%V1	oversight	attention paid to something	
partition%V1	partition	an enclosed space that has been sectioned off by a partition	
passing%M5A	passing	[passage] a bodily reaction of changing from one place to another, e.g. \"the passing of flatus\"	passing%1:04:05::
passing%M5B	passing	[passage] a bodily reaction of changing from one stage to another	passing%1:04:05::
pattern%V1	pattern	a representation of perceptual structure	
pattern%V2	pattern	a perceptual structure which is continually repeated	
pedal%V1	pedal	a note created through pressing the foot-operated lever on an instrument	
pet%V1	pet	the behaviour of a domesticated animal, often disobedient or erratic	
philosophy%V1	philosophy	the belief or system of beliefs held by certain philosophers as the product of rational investigation	
picket%V1	picket	a pike-like weapon, shaped like a wooden strip	
picket%V2	picket	picket line - the rule against entering the workplace during an industrial protest, which may or may not be physically defended by protesters	
pike%V1	pike	a spiked barrier on a road which someone must pay to pass	
plant%V1	plant	something placed in a certain position by an outside force, to achieve a specific goal	
plus%V1	plus	something that is added to something else to increase its value	
pocket%V1	pocket	things that are carried inside one's pockets	
pocketbook%V1	pocketbook	the amount of paper money held in a pocketbook	
pole%V1	pole	either of the ends of a pole	
possession%V1	possession	the state of being owned or possessed	
primary%V1	primary	something of the most importance	
program%V1	program	an ordered set of entertainments or events, as for broadcast or onstage	
pulp%V1	pulp	cheap paper made from pulp	
punch%V1	punch	person who delivers an impactful blow	
pursuit%V1	pursuit	the act of pursuing	
queen%V1	queen	is female	
quetzal%V1	quetzal	a feather of the quetzal bird, used as currency by the Mayans	
quiver%V1	quiver	a shaky motion produced by a feeling of fright	
rag%V1	rag	raggedness	
rag%V2	rag	boisterous behaviour used for fundraising	
rap%V1	rap	a blow as used for punishment for wrongdoing	
recession%V1	recession	the act of declining	
recession%V2	recession	a place one can retreat to	
redundancy%V1	redundancy	repetition that serves a specific purpose	
refinement%V1	refinement	the process of improving something	
relish%V1	relish	something that creates enjoyment in the who person does it	
resource%V1	resource	(resourceful) making use of available materials or facilities without wasting them	
restraint%M1A	restraint	the act of physically controlling by restraining someone or something	restraint%1:04:00::
restraint%M1B	restraint	the act of controlling someone or something, e.g. \"the unlawful restraint of trade\"	restraint%1:04:00::
revelation%V1	revelation	the disclosure of previously unknown information	
rodeo%V1	rodeo	cowboy skills	
rose%V1	rose	sweet-smelling flowers blooming from a rosebush	
rotogravure%V1	rotogravure	a plate made by photogravure and used for printing	
rubber%M3A	rubber	[rubber eraser, pencil eraser] an eraser made of rubber; commonly mounted at one end of a pencil	rubber%1:06:02::
rubber%M3B	rubber	[rubber eraser, pencil eraser] an eraser made of a synthetic material with properties similar to rubber; commonly mounted at one end of a pencil	rubber%1:06:02::
rumble%V1	rumble	(archaic) tumult	
saddle%V1	saddle	area of an animal consisting of the backbone and the immediately surrounding areas	
scrape%V1	scrape	the act of scraping; dragging an object or body part against a surface	
scratch%V1	scratch	the act of scraping around, which may cause scrape marks	
screw%V1	screw	the action of fastening a screw	
scrub%V1	scrub	a scouring brush with abrasive bristles	
second%V1	second	something that is not the most important or not the best	
sector%V1	sector	the size of something	
semi%V1	semi	half	
shade%V1	shade	a ghost	
shank%V1	shank	the upper part of the leg of cattle or sheep, used for food	
sharpness%V1	sharpness	the ability to slice or penetrate easily as with a fine point on a sword, knife etc.	
sharpshooter%V1	sharpshooter	a gun that performs well and shoots straight	
shear%V1	shear	the action or motion of shearing	
shell%V1	shell	something that has a shell-like outer surface	
shingle%V1	shingle	an individual piece of coarse beach gravel of small waterworn stones and pebbles	
shipping%V1	shipping	commercial enterprise of moving goods and materials using ships	
shower%V1	shower	the cascade of water from a shower head	
sink%V1	sink	the process of material moving downwards	
slate%V1	slate	something that is written down	
slice%V1	slice	an instrument used for cutting, e.g., \"the cake slice cut through the icing\"	
slide%V1	slide	something that can slide smoothly	
slur%V1	slur	(music) notes performed legato	
small%V1	small	something that is relatively small	
smoke%V1	smoke	fast-paced movement that causes a cloud of fine particles to appear in the air, such as that of a car pulling away	
society%V1	society	the act of spending time together with someone	
soma%V1	soma	an intoxicating drink made from East Indian vine	
spare%V1	spare	anything involving the second of two identical things	
specification%V1	specification	something that is stated explicitly and in detail	
spiral%V1	spiral	[helical path] movement which traces a curve on the surface of a cylinder or cone	
spread%V1	spread	a wide expanse of space	
spur%V1	spur	the act of urging something on	
stain%V1	stain	is a discoloured mark on a material, that is difficult to remove	
standoff%V1	standoff	a contest where either opponent may win	
stature%V1	stature	(of a standing person) large or impressive height	
stilt%V1	stilt	a performer trained to walk on a long poles attached to the feet, giving the illusion of immense tallness and long legs	
strength%M1A	strength	the property of being physically strong, e.g. \"fatigue sapped his strength\"	strength%1:07:00::
strength%M1B	strength	the property of being mentally strong	strength%1:07:00::
subdivision%V1	subdivision	a part of something	
submission%V1	submission	the act of presenting something to be reviewed by someone else	
sucker%M6A	sucker	an organ specialized for sucking nourishment	sucker%1:05:02::
sucker%M6B	sucker	an organ specialized for adhering to objects by suction	sucker%1:05:02::
surface%V1	surface	surrounds the outside of something with a specific shape	
sweep%V1	sweep	the act of brushing away dirt	
swell%V1	swell	something than is good or excellent	
swift%V1	swift	something that is fast	
tactics%V1	tactics	a military plan for attaining a goal in warfare	
tanker%V1	tanker	a person who drives a cargo ship designed to carry crude oil	
taper%V1	taper	the flame of a candle	
term%V1	term	the end point of a period of time	
terminal%V1	terminal	the end of an abstract thing - e.g. journey, computational processes	
throw%V1	throw	something that can be thrown	
throw%V2	throw	a continuous movement with a bounded distance	
tie%V1	tie	the act of tying or joining things together	
timber%V1	timber	trees	
topology%V1	topology	a configuration of points and lines that makes up a figure	
transcription%V1	transcription	the process or act of recording something	
transport%V1	transport	the state of being conveyed	
tribune%V1	tribune	the place where a Roman elected official resides	
trip%V1	trip	something that can be caught or tripped	
trojan%V1	trojan	the Trojan horse - mythically caused Troy's destruction by disguising enemy soldiers as a gift to the city	
trusteeship%V1	trusteeship	the beneficiary whose assets a trustee is responsible for	
turtle%V1	turtle	[turtleneck] the tube-like high neck portion of a turtleneck jumper, which is sometimes long enough to cover the wearer's head	
turtle%V2	turtle	the fact that turtles can retract their heads into their shells	
twin%V1	twin	[Gemini] (astrology) a star sign with a symbol that is a pair of twins	
twin%V2	twin	[twins] a pair of offspring born at the same time from the same pregnancy	
vision%V1	vision	what is seen during the perceptual experience of seeing	
volunteer%V1	volunteer	the state of Tennessee, given its frequent participation in military service	
vote%V1	vote	a body of voters	
watch%V1	watch	the act of looking	
wheeler%V1	wheeler	things involving wheels	
wheeler%V2	wheeler	the act of turning a corner when marching in ranks	
wings%V1	wings	feathered forelimb of a bird, used for flight	
words%V1	words	language, spoken or written, that is used in an angry dispute	
works%V1	works	labour	
worship%V1	worship	a feeling of euphoria that results from worshipping	
yarn%V1	yarn	the act of twisting a fine cord of fibers	
zone%V1	zone	boundary which circumscribes a distinctive area	
