wordform	from_sense_id	to_sense_id	label
adonis	adonis%1:18:00::	adonis%1:20:00::	metonymy
adoration	adoration%1:12:00::	adoration%1:04:01::	metonymy
adoration	adoration%1:04:01::	adoration%1:04:02::	metonymy
adult	adult%1:18:00::	adult%1:05:00::	metaphor
advance	advance%1:11:00::	advance%1:11:01::	metaphor
advance	advance%1:11:00::	advance%1:10:00::	metaphor
advance	advance%1:11:00::	advance%1:04:00::	metonymy
advance	advance%1:11:00::	advance%1:04:01::	metaphor
advantage	advantage%1:07:00::	advantage%1:23:00::	metonymy
advantage	advantage%1:07:00::	advantage%1:07:01::	metonymy
advent	advent%1:11:00::	advent%1:04:00::	metaphor
advent	advent%1:28:01::	advent%1:11:00::	metaphor
adventurer	adventurer%1:18:01::	adventurer%1:18:00::	metaphor
advertising	advertising%1:10:00::	advertising%1:04:00::	metonymy
aegis	aegis%1:06:00::	aegis%1:04:00::	metaphor
aeon	aeon%1:28:00::	aeon%1:18:00::	metaphor
aeon	aeon%1:28:01::	aeon%1:28:00::	metaphor
aerosol	aerosol%1:06:00::	aerosol%1:19:00::	metonymy
affair	affair%1:11:00::	affair%1:09:00::	metaphor
affair	affair%1:11:00::	affair%1:26:00::	metaphor
affairs	affairs%1:09:00::	affairs%1:04:00::	metaphor
affinity	affinity%1:07:02::	affinity%1:19:02::	metaphor
affinity	affinity%1:24:03::	affinity%1:24:01::	metaphor
affinity	affinity%1:07:01::	affinity%1:24:02::	metonymy
affinity	affinity%1:07:02::	affinity%1:24:03::	metonymy
affinity	affinity%1:07:02::	affinity%1:19:01::	metaphor
affinity	affinity%1:07:02::	affinity%1:07:01::	metaphor
affirmation	affirmation%1:10:00::	affirmation%1:10:02::	metonymy
affirmation	affirmation%1:10:00::	affirmation%1:10:01::	metonymy
affirmation	affirmation%1:10:00::	affirmation%1:04:00::	metonymy
afghan	afghan%1:18:00::	afghan%1:06:00::	metonymy
afghan	afghan%1:18:00::	afghan%1:10:00::	metonymy
afghan	afghan%1:18:00::	afghan%1:06:01::	metonymy
afghan	afghan%1:18:00::	afghan%1:05:00::	metonymy
aficionado	aficionado%1:18:00::	aficionado%1:18:01::	metaphor
afterglow	afterglow%1:19:00::	afterglow%1:12:00::	metaphor
aftermath	aftermath%1:19:00::	aftermath%1:11:00::	metonymy
afternoon	afternoon%1:28:00::	afternoon%1:10:00::	metonymy
agape	agape%1:12:01::	agape%1:12:00::	metaphor
agape	agape%1:12:01::	agape%1:04:00::	metonymy
agaric	agaric%1:20:00::	agaric%1:20:02::	metonymy
age	age%1:28:00::	age%1:07:00::	metaphor
age	age%1:28:03::	age%1:28:02::	metaphor
age	age%1:28:00::	age%1:28:03::	metaphor
age	age%1:28:00::	age%1:28:01::	metonymy
ageing	ageing%1:22:00::	ageing%1:22:01::	metonymy
agency	agency%1:14:00::	agency%1:14:01::	metaphor
agency	agency%1:14:00::	agency%1:26:00::	metonymy
agency	agency%1:26:01::	agency%1:04:00::	metonymy
agenda	agenda%1:10:00::	agenda%1:09:00::	metonymy
agent	agent%1:18:02::	agent%1:17:00::	metaphor
agent	agent%1:17:00::	agent%1:27:00::	metonymy
agent	agent%1:18:02::	agent%1:18:01::	metonymy
agent	agent%1:18:02::	agent%1:18:03::	metonymy
agent	agent%1:17:00::	agent%1:10:00::	metonymy
agglomerate	agglomerate%1:14:00::	agglomerate%1:27:00::	metaphor
aggregate	aggregate%1:06:00::	aggregate%1:27:00::	metaphor
aggregate	aggregate%1:06:00::	aggregate%1:14:00::	metaphor
aggregation	aggregation%1:14:00::	aggregation%1:04:00::	metonymy
aggression	aggression%1:12:00::	aggression%1:07:00::	metonymy
aggression	aggression%1:12:00::	aggression%1:04:00::	metonymy
aggression	aggression%1:12:00::	aggression%1:04:02::	metonymy
aggression	aggression%1:04:00::	aggression%1:04:01::	metaphor
aging	aging%1:22:00::	aging%1:22:01::	metaphor
agitation	agitation%1:12:00::	agitation%1:26:01::	metaphor
agitation	agitation%1:12:00::	agitation%1:26:00::	metaphor
agitation	agitation%1:12:00::	agitation%1:04:00::	metaphor
agitation	agitation%1:12:00::	agitation%1:04:01::	metonymy
agnostic	agnostic%1:18:00::	agnostic%1:18:01::	metaphor
agonist	agonist%1:18:01::	agonist%1:18:00::	metaphor
agonist	agonist%1:18:01::	agonist%1:08:00::	metaphor
agonist	agonist%1:18:01::	agonist%1:06:00::	metaphor
agora	agora%1:15:00::	agora%1:06:00::	metaphor
agreement	agreement%1:07:00::	agreement%1:10:01::	metonymy
agreement	agreement%1:07:00::	agreement%1:26:01::	metaphor
agreement	agreement%1:07:00::	agreement%1:09:00::	metonymy
agreement	agreement%1:07:00::	agreement%1:24:03::	metaphor
agreement	agreement%1:07:00::	agreement%1:10:00::	metonymy
agriculture	agriculture%1:04:00::	agriculture%1:04:01::	metonymy
agriculture	agriculture%1:04:00::	agriculture%1:14:01::	metonymy
agriculture	agriculture%1:04:00::	agriculture%1:14:00::	metonymy
aid	aid%1:04:00::	aid%1:07:00::	metonymy
aid	aid%1:04:00::	aid%1:21:00::	metonymy
aid	aid%1:04:00::	aid%1:04:01::	metonymy
aide	aide%1:18:01::	aide%1:18:00::	metaphor
aim	aim%1:09:01::	aim%1:09:00::	metaphor
aim	aim%1:04:00::	aim%1:09:01::	metonymy
aim	aim%1:04:00::	aim%1:15:00::	metonymy
air	air%1:15:01::	air%1:15:00::	metaphor
air	air%1:27:00::	air%1:07:00::	metaphor
air	air%1:27:00::	air%1:19:00::	metonymy
air	air%1:27:00::	air%1:15:01::	metonymy
air	air%1:27:00::	air%1:27:01::	metonymy
air	air%1:27:00::	air%1:10:01::	metaphor
air	air%1:27:00::	air%1:10:02::	metonymy
air	air%1:15:01::	air%1:04:00::	metonymy
airing	airing%1:04:00::	airing%1:10:00::	metaphor
airing	airing%1:04:00::	airing%1:04:01::	metonymy
airspace	airspace%1:15:01::	airspace%1:15:00::	metonymy
airstream	airstream%1:19:00::	airstream%1:19:01::	metonymy
airway	airway%1:08:00::	airway%1:06:01::	metaphor
airway	airway%1:08:00::	airway%1:15:00::	metaphor
airway	airway%1:08:00::	airway%1:06:00::	metonymy
aisle	aisle%1:06:00::	aisle%1:06:03::	metaphor
aisle	aisle%1:06:00::	aisle%1:06:02::	metonymy
ala	ala%1:05:01::	ala%1:08:00::	metaphor
alabaster	alabaster%1:27:00::	alabaster%1:27:01::	metonymy
alabaster	alabaster%1:27:00::	alabaster%1:07:00::	metaphor
alarm	alarm%1:10:00::	alarm%1:06:00::	metaphor
alarm	alarm%1:12:00::	alarm%1:10:00::	metonymy
alarm	alarm%1:10:00::	alarm%1:06:01::	metaphor
album	album%1:06:00::	album%1:10:00::	metaphor
alcohol	alcohol%1:13:00::	alcohol%1:27:00::	metonymy
alcoholism	alcoholism%1:26:00::	alcoholism%1:16:01::	metonymy
alder	alder%1:20:02::	alder%1:20:00::	metonymy
alert	alert%1:10:00::	alert%1:26:00::	metonymy
alert	alert%1:10:00::	alert%1:10:01::	metonymy
alerting	alerting%1:10:00::	alerting%1:26:00::	metonymy
alewife	alewife%1:13:00::	alewife%1:05:00::	metonymy
alfalfa	alfalfa%1:20:00::	alfalfa%1:13:00::	metonymy
alibi	alibi%1:10:00::	alibi%1:10:01::	metaphor
alien	alien%1:18:02::	alien%1:18:00::	metaphor
alien	alien%1:18:02::	alien%1:18:01::	metaphor
alienation	alienation%1:12:00::	alienation%1:26:00::	metonymy
alienation	alienation%1:04:00::	alienation%1:04:01::	metaphor
alienation	alienation%1:12:00::	alienation%1:04:00::	metonymy
alignment	alignment%1:07:00::	alignment%1:14:00::	metaphor
alignment	alignment%1:07:00::	alignment%1:11:00::	metonymy
alignment	alignment%1:07:00::	alignment%1:04:00::	metonymy
aliyah	aliyah%1:04:00::	aliyah%1:10:00::	metaphor
alkali	alkali%1:27:00::	alkali%1:27:01::	metaphor
allegation	allegation%1:10:00::	allegation%1:10:01::	metaphor
allegiance	allegiance%1:04:00::	allegiance%1:07:00::	metaphor
allegory	allegory%1:10:01::	allegory%1:10:00::	metonymy
allegory	allegory%1:10:02::	allegory%1:10:01::	metonymy
allegro	allegro%1:28:00::	allegro%1:10:00::	metonymy
alley	alley%1:06:00::	alley%1:06:01::	metaphor
alliance	alliance%1:26:00::	alliance%1:24:00::	metaphor
alliance	alliance%1:10:00::	alliance%1:14:00::	metonymy
alliance	alliance%1:26:00::	alliance%1:10:00::	metonymy
alliance	alliance%1:26:00::	alliance%1:04:00::	metonymy
allies	allies%1:14:00::	allies%1:14:02::	metonymy
allies	allies%1:14:00::	allies%1:14:01::	metonymy
alligator	alligator%1:05:00::	alligator%1:27:00::	metonymy
allocation	allocation%1:04:00::	allocation%1:21:00::	metonymy
allocation	allocation%1:04:00::	allocation%1:04:01::	metonymy
allowance	allowance%1:21:00::	allowance%1:21:02::	metonymy
allowance	allowance%1:21:00::	allowance%1:21:01::	metonymy
allowance	allowance%1:21:00::	allowance%1:07:00::	metaphor
allowance	allowance%1:21:00::	allowance%1:21:03::	metaphor
allowance	allowance%1:21:00::	allowance%1:04:00::	metonymy
alloy	alloy%1:27:00::	alloy%1:26:00::	metaphor
almanac	almanac%1:10:00::	almanac%1:10:01::	metonymy
almond	almond%1:13:00::	almond%1:20:00::	metonymy
alpaca	alpaca%1:05:00::	alpaca%1:27:00::	metonymy
alpaca	alpaca%1:27:00::	alpaca%1:06:00::	metonymy
alpha	alpha%1:10:00::	alpha%1:11:00::	metaphor
alphabet	alphabet%1:10:00::	alphabet%1:09:00::	metaphor
altar	altar%1:06:00::	altar%1:06:01::	metonymy
altitude	altitude%1:07:00::	altitude%1:25:00::	metaphor
altitude	altitude%1:07:00::	altitude%1:24:00::	metaphor
alto	alto%1:10:01::	alto%1:18:00::	metaphor
alto	alto%1:10:01::	alto%1:10:00::	metaphor
alto	alto%1:10:01::	alto%1:07:01::	metaphor
alto	alto%1:10:00::	alto%1:07:00::	metonymy
alum	alum%1:06:00::	alum%1:27:02::	metonymy
alum	alum%1:06:00::	alum%1:27:01::	metonymy
alveolus	alveolus%1:08:00::	alveolus%1:08:02::	metaphor
amalgam	amalgam%1:27:00::	amalgam%1:14:00::	metaphor
amazon	amazon%1:18:01::	amazon%1:18:02::	metaphor
amazon	amazon%1:17:00::	amazon%1:05:00::	metonymy
ambassador	ambassador%1:18:00::	ambassador%1:18:01::	metaphor
amber	amber%1:27:00::	amber%1:07:00::	metaphor
ambition	ambition%1:12:00::	ambition%1:07:00::	metonymy
ambrosia	ambrosia%1:13:02::	ambrosia%1:27:00::	metaphor
ambrosia	ambrosia%1:13:02::	ambrosia%1:13:01::	metaphor
amendment	amendment%1:10:00::	amendment%1:04:00::	metonymy
amity	amity%1:26:00::	amity%1:07:00::	metonymy
ammonia	ammonia%1:27:00::	ammonia%1:27:01::	metonymy
ammunition	ammunition%1:06:00::	ammunition%1:27:00::	metaphor
ammunition	ammunition%1:06:00::	ammunition%1:10:00::	metaphor
amnesty	amnesty%1:10:00::	amnesty%1:26:00::	metonymy
amnesty	amnesty%1:10:00::	amnesty%1:04:00::	metonymy
amortization	amortization%1:04:01::	amortization%1:04:00::	metonymy
amount	amount%1:09:00::	amount%1:21:00::	metonymy
amount	amount%1:03:00::	amount%1:07:00::	metonymy
amount	amount%1:03:00::	amount%1:09:00::	metonymy
amphibian	amphibian%1:05:00::	amphibian%1:06:01::	metaphor
amphibian	amphibian%1:05:00::	amphibian%1:06:00::	metaphor
amphitheater	amphitheater%1:06:00::	amphitheater%1:06:01::	metaphor
amphitheatre	amphitheatre%1:06:01::	amphitheatre%1:06:00::	metaphor
amplitude	amplitude%1:07:01::	amplitude%1:11:00::	metonymy
amplitude	amplitude%1:07:01::	amplitude%1:07:02::	metonymy
amputation	amputation%1:04:00::	amputation%1:26:00::	metonymy
amusement	amusement%1:12:00::	amusement%1:04:00::	metonymy
anachronism	anachronism%1:06:00::	anachronism%1:28:00::	metonymy
anachronism	anachronism%1:06:00::	anachronism%1:18:00::	metaphor
analysis	analysis%1:04:00::	analysis%1:09:00::	metonymy
analysis	analysis%1:04:00::	analysis%1:10:00::	metonymy
analysis	analysis%1:04:00::	analysis%1:10:01::	metaphor
analysis	analysis%1:04:00::	analysis%1:09:02::	metonymy
analysis	analysis%1:04:00::	analysis%1:04:01::	metonymy
anathema	anathema%V1	anathema%1:18:00::	metaphor
anathema	anathema%1:10:00::	anathema%V1	metonymy
anatomy	anatomy%1:09:00::	anatomy%1:08:00::	metonymy
anatomy	anatomy%1:09:00::	anatomy%1:04:00::	metaphor
ancestry	ancestry%1:14:00::	ancestry%1:07:00::	metonymy
anchor	anchor%1:06:00::	anchor%1:09:00::	metaphor
anchor	anchor%1:06:00::	anchor%1:18:00::	metaphor
anchorage	anchorage%1:15:00::	anchorage%1:26:00::	metonymy
anchorage	anchorage%1:15:00::	anchorage%1:21:00::	metonymy
anchorage	anchorage%1:15:00::	anchorage%1:04:00::	metonymy
anchovy	anchovy%1:05:00::	anchovy%1:13:00::	metonymy
andromeda	andromeda%1:20:00::	andromeda%1:20:02::	metonymy
anemia	anemia%1:26:00::	anemia%1:26:01::	metaphor
anemone	anemone%1:20:00::	anemone%1:05:00::	metaphor
angel	angel%1:18:00::	angel%1:18:03::	metaphor
angel	angel%1:18:00::	angel%1:18:02::	metaphor
angel	angel%1:18:00::	angel%1:17:00::	metonymy
angelfish	angelfish%1:05:03::	angelfish%1:05:02::	metaphor
angelfish	angelfish%1:05:03::	angelfish%1:05:01::	metaphor
angelica	angelica%1:13:01::	angelica%1:20:00::	metonymy
angelica	angelica%1:13:01::	angelica%1:13:02::	metonymy
angle	angle%1:25:00::	angle%1:09:00::	metaphor
anil	anil%1:20:00::	anil%1:27:00::	metonymy
animation	animation%1:04:01::	animation%1:26:00::	metonymy
animation	animation%1:26:00::	animation%1:07:00::	metonymy
animation	animation%1:26:00::	animation%1:07:01::	metonymy
animation	animation%1:04:01::	animation%1:04:02::	metonymy
animation	animation%1:04:02::	animation%1:04:00::	metaphor
anime	anime%1:27:01::	anime%1:27:00::	metonymy
anise	anise%1:13:00::	anise%1:20:00::	metonymy
anklet	anklet%1:06:00::	anklet%1:06:02::	metaphor
anklet	anklet%1:06:00::	anklet%1:06:01::	metaphor
annals	annals%1:10:00::	annals%1:10:01::	metaphor
annexation	annexation%1:04:01::	annexation%1:04:00::	metonymy
annihilation	annihilation%1:04:00::	annihilation%1:11:00::	metaphor
annoyance	annoyance%1:09:00::	annoyance%1:26:00::	metonymy
annoyance	annoyance%1:09:00::	annoyance%1:12:00::	metonymy
annoyance	annoyance%1:09:00::	annoyance%1:18:00::	metonymy
annoyance	annoyance%1:26:00::	annoyance%1:04:00::	metonymy
annulet	annulet%1:06:00::	annulet%1:06:02::	metaphor
annulet	annulet%1:06:00::	annulet%1:06:01::	metaphor
annulus	annulus%1:25:00::	annulus%1:20:00::	metaphor
annunciation	annunciation%1:10:00::	annunciation%1:28:00::	metonymy
anomaly	anomaly%1:26:00::	anomaly%1:18:00::	metonymy
anomaly	anomaly%1:26:00::	anomaly%1:15:00::	metaphor
answer	answer%1:10:01::	answer%1:10:02::	metaphor
answer	answer%1:10:01::	answer%1:10:00::	metonymy
answer	answer%1:10:01::	answer%1:10:03::	metonymy
answer	answer%1:10:01::	answer%1:04:00::	metaphor
antagonism	antagonism%1:12:02::	antagonism%1:26:00::	metonymy
antagonism	antagonism%1:12:02::	antagonism%1:24:00::	metaphor
antagonism	antagonism%1:12:02::	antagonism%1:04:00::	metaphor
antagonist	antagonist%1:18:00::	antagonist%1:08:00::	metaphor
antagonist	antagonist%1:18:00::	antagonist%1:06:00::	metaphor
antecedent	antecedent%1:11:00::	antecedent%1:18:00::	metonymy
antecedent	antecedent%1:11:00::	antecedent%1:24:00::	metonymy
antecedent	antecedent%1:11:00::	antecedent%1:10:00::	metonymy
antenna	antenna%1:05:00::	antenna%1:06:00::	metaphor
antenna	antenna%1:05:00::	antenna%1:07:00::	metaphor
anthem	anthem%1:10:01::	anthem%1:10:00::	metonymy
anthrax	anthrax%1:26:01::	anthrax%1:26:00::	metaphor
anticipation	anticipation%1:12:00::	anticipation%1:09:01::	metonymy
anticipation	anticipation%1:12:00::	anticipation%1:09:00::	metonymy
anticipation	anticipation%1:12:00::	anticipation%1:26:00::	metonymy
antiquity	antiquity%1:07:00::	antiquity%1:28:00::	metonymy
antiquity	antiquity%1:07:00::	antiquity%1:06:00::	metonymy
anxiety	anxiety%1:12:00::	anxiety%1:26:00::	metonymy
apache	apache%1:18:00::	apache%1:18:01::	metaphor
apache	apache%1:18:00::	apache%1:10:00::	metonymy
apathy	apathy%1:12:00::	apathy%1:07:01::	metonymy
ape	ape%1:05:00::	ape%1:18:01::	metaphor
ape	ape%1:05:00::	ape%1:18:00::	metaphor
aperture	aperture%1:06:00::	aperture%1:06:01::	metonymy
aperture	aperture%1:06:00::	aperture%1:17:00::	metaphor
apex	apex%1:15:00::	apex%1:15:01::	metaphor
apocalypse	apocalypse%1:11:00::	apocalypse%1:10:00::	metonymy
apostasy	apostasy%1:26:00::	apostasy%1:04:00::	metonymy
apostle	apostle%1:18:00::	apostle%1:18:02::	metaphor
apostle	apostle%1:18:00::	apostle%1:18:01::	metaphor
apparatus	apparatus%1:06:00::	apparatus%1:08:00::	metaphor
apparition	apparition%1:18:00::	apparition%1:11:00::	metonymy
apparition	apparition%1:18:00::	apparition%1:09:00::	metaphor
apparition	apparition%1:11:00::	apparition%1:04:00::	metaphor
